player,team,w,l,era,g,gc,cg,sho,sv,svo,ip,h,r,er,hr,hb,bb,so,whip,avg
1,MIN,4,0,1.35,7,7,0,0,0,0,40,29,6,6,0,0,15,47,1.1,0.199
SonnyGray,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
2,CHC,5,0,1.45,7,7,0,0,0,0,43.1,30,9,7,2,2,11,36,0.95,0.2
JustinSteele,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
3,ATL,3,0,1.74,7,7,0,0,0,0,41.1,33,9,8,3,3,13,36,1.11,0.219
BryceElder,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
4,TB,7,0,1.76,8,8,0,0,0,0,46,32,9,9,4,0,20,58,1.13,0.194
ShaneMcClanahan,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
5,DET,3,2,1.81,7,7,0,0,0,0,44.2,27,9,9,4,0,8,39,0.78,0.176
EduardoRodriguez,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
6,SF,2,1,2.01,7,7,1,1,0,0,40.1,44,10,9,3,1,6,38,1.24,0.273
AlexCobb,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
7,NYY,5,0,2.09,8,8,1,1,0,0,51.2,36,13,12,2,2,16,58,1.01,0.197
GerritCole,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
8,CHC,2,3,2.28,8,8,0,0,0,0,47.1,33,12,12,3,1,17,44,1.06,0.196
MarcusStroman,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
9,AZ,5,1,2.36,8,8,0,0,0,0,49.2,36,14,13,2,1,6,64,0.85,0.198
ZacGallen,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
10,SEA,2,0,2.38,7,7,0,0,0,0,41.2,29,11,11,2,0,9,43,0.91,0.192
LuisCastillo,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
11,MIN,5,1,2.45,7,7,0,0,0,0,44,31,13,12,4,1,6,47,0.84,0.191
JoeRyan,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
12,LAD,5,2,2.53,7,7,0,0,0,0,42.2,32,15,12,6,1,10,48,0.98,0.204
ClaytonKershaw,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
13,LAA,4,0,2.54,7,7,0,0,0,0,39,16,11,11,4,7,18,59,0.87,0.125
ShoheiOhtani,,,,,,,,,,,,,,,,,,,,
TWP,,,,,,,,,,,,,,,,,,,,
14,HOU,2,4,2.6,7,7,0,0,0,0,45,42,18,13,4,2,10,45,1.16,0.25
FramberValdez,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
15,CLE,2,1,2.61,8,8,0,0,0,0,51.2,44,15,15,4,1,13,39,1.1,0.229
ShaneBieber,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
16,LAD,4,1,2.68,7,7,0,0,0,0,40.1,23,12,12,1,2,15,29,0.94,0.164
DustinMay,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
17,ATL,4,0,2.7,7,7,0,0,0,0,40,23,12,12,2,2,14,67,0.93,0.162
SpencerStrider,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
18,PIT,4,1,2.72,8,8,1,1,0,0,49.2,40,19,15,4,1,14,56,1.09,0.214
MitchKeller,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
19,AZ,3,3,2.75,7,7,0,0,0,0,39.1,28,14,12,3,2,19,40,1.19,0.206
MerrillKelly,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
20,SF,3,2,2.8,7,7,0,0,0,0,45,38,15,14,4,1,4,33,0.93,0.225
AnthonyDeSclafani,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
21,WSH,2,5,3.03,7,7,0,0,0,0,38.2,37,13,13,5,2,15,37,1.34,0.253
JosiahGray,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
22,CHC,3,1,3.05,7,7,0,0,0,0,38.1,29,14,13,4,2,9,34,0.99,0.207
DrewSmyly,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
