player,team,games_played,at_bat,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strike_outs,stolen_bases,caught_stealing,batting_avg,on_base_percentage,slugging,ops
1,TOR,29,107,18,40,15,0,5,21,15,28,1,2,0.374,0.455,0.654,1.109
MattChapman,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
2,ATL,27,87,20,24,7,0,8,23,20,26,0,0,0.276,0.427,0.632,1.059
SeanMurphy,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,
3,LAD,28,92,22,22,1,0,12,27,24,33,1,0,0.239,0.398,0.641,1.039
MaxMuncy,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
4,ATL,31,117,26,42,11,0,5,16,18,20,14,2,0.359,0.449,0.581,1.03
RonaldAcuna,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
5,MIA,27,93,12,40,5,1,1,11,11,5,1,1,0.43,0.491,0.538,1.029
LuisArraez,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
6,PHI,30,95,18,31,7,4,4,14,13,33,1,0,0.326,0.413,0.611,1.024
BrandonMarsh,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
7,TB,28,96,23,30,4,0,7,16,18,16,0,0,0.313,0.427,0.573,1
YandyDiaz,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
8,SF,28,78,12,20,3,1,6,9,23,21,1,0,0.256,0.442,0.551,0.993
LaMonteWade,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
9,SEA,27,94,14,29,8,0,7,15,10,29,5,1,0.309,0.371,0.617,0.988
JarredKelenic,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
10,LAD,32,107,22,31,6,3,7,21,14,41,4,1,0.29,0.382,0.598,0.98
JamesOutman,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
11,PIT,26,85,18,25,9,2,4,11,11,25,2,1,0.294,0.388,0.588,0.976
ConnorJoe,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
12,PIT,29,107,17,36,11,1,5,23,9,20,5,0,0.336,0.377,0.598,0.975
BryanReynolds,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
13,CHC,26,99,23,30,6,1,7,18,11,18,5,1,0.303,0.377,0.596,0.973
CodyBellinger,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
14,TEX,25,85,18,25,7,0,6,23,10,18,0,0,0.294,0.371,0.588,0.959
JonahHeim,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,
15,TB,29,114,22,37,5,1,7,28,10,29,3,2,0.325,0.388,0.57,0.958
